,Intercept,group,lower,upper
E09000025,-1.4797437354719714,E09000025,-2.770279223145068,-0.18920824779887457
E09000031,-1.2463745865935743,E09000031,-2.536910074266671,0.04416090107952253
E09000030,-1.2208643502437555,E09000030,-2.5113998379168523,0.06967113742934128
E09000012,-1.1811430780972059,E09000012,-2.4716785657703024,0.10939240957589091
E09000002,-1.1615373381139165,E09000002,-2.4520728257870132,0.12899814955918032
E06000045,-1.1437990326671659,E06000045,-2.4343345203402627,0.1467364550059309
E06000039,-1.1064108684265004,E06000039,-2.396946356099597,0.1841246192465964
W06000015,-1.0561400296166903,W06000015,-2.3466755172897873,0.2343954580564065
E07000086,-1.0326698812389428,E07000086,-2.3232053689120393,0.257865606434154
E09000019,-0.9947201979922008,E09000019,-2.2852556856652977,0.295815289680896
E07000041,-0.9617233993597586,E07000041,-2.2522588870328555,0.3288120883133382
E07000081,-0.9349272701395905,E07000081,-2.2254627578126875,0.35560821753350624
E06000044,-0.9203845656183781,E06000044,-2.210920053291475,0.37015092205471867
E09000013,-0.906627300397066,E09000013,-2.1971627880701625,0.3839081872760308
E06000038,-0.9009086341204028,E06000038,-2.1914441217934995,0.389626853552694
E07000088,-0.8957468851306154,E07000088,-2.186282372803712,0.3947886025424814
E09000023,-0.8595828520736704,E09000023,-2.150118339746767,0.4309526355994264
E09000026,-0.845062747171204,E09000026,-2.135598234844301,0.4454727405018928
E06000026,-0.8255075324843119,E06000026,-2.1160430201574085,0.4650279551887849
E06000032,-0.8236415763413054,E06000032,-2.1141770640144024,0.46689391133179137
E06000030,-0.8019926110126625,E06000030,-2.0925280986857593,0.4885428766604343
E07000008,-0.7871166571377429,E07000008,-2.07765214481084,0.5034188305353539
E07000226,-0.7837186771711113,E07000226,-2.0742541648442083,0.5068168105019855
E08000026,-0.7802612246908943,E08000026,-2.070796712363991,0.5102742629822025
E07000178,-0.7486979140530563,E07000178,-2.039233401726153,0.5418375736200405
E07000092,-0.7479998671792178,E07000092,-2.0385353548523146,0.5425356204938789
E06000035,-0.7384975935664461,E06000035,-2.0290330812395427,0.5520378941066507
E07000103,-0.733053869393172,E07000103,-2.023589357066269,0.5574816182799248
E08000003,-0.7214332774896304,E08000003,-2.0119687651627274,0.5691022101834664
E06000023,-0.7158399715718614,E06000023,-2.0063754592449583,0.5746955161012354
E09000018,-0.7011311411415171,E09000018,-1.9916666288146139,0.5894043465315797
E09000028,-0.6990773921580469,E09000028,-1.9896128798311437,0.5914580955150499
E09000005,-0.6980585847773163,E09000005,-1.9885940724504132,0.5924769028957805
E09000022,-0.6920793992966445,E09000022,-1.9826148869697413,0.5984560883764523
E09000009,-0.6893204274281872,E09000009,-1.979855915101284,0.6012150602449096
E09000011,-0.6482014047623158,E09000011,-1.9387368924354127,0.642334082910781
E09000017,-0.6419636110794402,E09000017,-1.932499098752537,0.6485718765936566
E07000061,-0.6414640667382145,E07000061,-1.9319995544113113,0.6490714209348822
E07000087,-0.638705403068122,E07000087,-1.9292408907412186,0.6518300846049748
E09000004,-0.6224548927922642,E09000004,-1.912990380465361,0.6680805948808326
W06000022,-0.620814725525761,W06000022,-1.9113502131988578,0.6697207621473358
E07000202,-0.5967361693797969,E07000202,-1.8872716570528936,0.6937993182932999
E07000148,-0.5949190517914581,E07000148,-1.885454539464555,0.6956164358816387
E07000106,-0.5760448720001315,E07000106,-1.8665803596732284,0.7144906156729652
W06000011,-0.57194707085688,W06000011,-1.862482558529977,0.7185884168162168
E06000016,-0.5692660103830777,E06000016,-1.8598014980561746,0.7212694772900191
E07000243,-0.5664145317006917,E07000243,-1.8569500193737885,0.7241209559724051
E07000073,-0.5641902368075433,E07000073,-1.85472572448064,0.7263452508655535
E07000062,-0.5639383827908306,E07000062,-1.8544738704639274,0.7265971048822661
E07000237,-0.550849702383453,E07000237,-1.8413851900565499,0.7396857852896438
E07000090,-0.5497344493772852,E07000090,-1.8402699370503819,0.7408010382958116
E07000213,-0.5477664654561334,E07000213,-1.8383019531292302,0.7427690222169634
E06000043,-0.5402396742395064,E06000043,-1.8307751619126031,0.7502958134335904
E06000015,-0.5310845601742119,E06000015,-1.8216200478473086,0.7594509274988849
E06000018,-0.5295878196306574,E06000018,-1.8201233073037542,0.7609476680424394
E07000138,-0.5280833516319237,E07000138,-1.8186188393050204,0.7624521360411731
E06000034,-0.5270433294030036,E06000034,-1.8175788170761003,0.7634921582700932
E07000107,-0.5083606000138609,E07000107,-1.7988960876869577,0.7821748876592359
E06000058,-0.5073429454445196,E06000058,-1.7978784331176163,0.7831925422285771
E09000032,-0.5026731710347562,E09000032,-1.793208658707853,0.7878623166383406
E09000015,-0.5006515569637391,E09000015,-1.7911870446368359,0.7898839307093577
E07000217,-0.4966209208930018,E07000217,-1.7871564085660987,0.793914566780095
E06000010,-0.4873133369987338,E06000010,-1.7778488246718305,0.803222150674363
E08000006,-0.4861265148555759,E08000006,-1.7766620025286728,0.8044089728175209
E07000219,-0.48411779716227576,E07000219,-1.7746532848353724,0.806417690510821
E07000229,-0.4825229924433815,E07000229,-1.7730584801164784,0.8080124952297153
E08000012,-0.4741740938911353,E08000012,-1.7647095815642322,0.8163613937819615
E08000021,-0.4710682654519021,E08000021,-1.7616037531249988,0.8194672222211947
E08000028,-0.4703085031523095,E08000028,-1.7608439908254063,0.8202269845207872
E07000223,-0.4624305601493211,E07000223,-1.7529660478224178,0.8281049275237757
E09000014,-0.45256008288644806,E09000014,-1.7430955705595448,0.8379754047866488
E09000029,-0.4509513455200129,E09000029,-1.7414868331931097,0.8395841421530839
W06000020,-0.4409980265898672,W06000020,-1.731533514262964,0.8495374610832296
E09000010,-0.4239676969853915,E09000010,-1.7145031846584882,0.8665677906877053
W06000016,-0.4215765642163557,W06000016,-1.7121120518894526,0.8689589234567411
E06000060,-0.4205819949005559,E06000060,-1.7111174825736528,0.8699534927725409
E09000008,-0.4201611278483576,E09000008,-1.7106966155214542,0.8703743598247392
E06000014,-0.3967620713982729,E06000014,-1.6872975590713697,0.8937734162748239
E07000240,-0.3935035824375637,E07000240,-1.6840390701106605,0.8970319052355331
E06000061,-0.38665791807560596,E06000061,-1.6771934057487028,0.9038775695974908
W06000013,-0.38465125250634513,W06000013,-1.6751867401794418,0.9058842351667517
E07000078,-0.3829641126821098,E07000078,-1.6734996003552065,0.9075713749909871
E07000034,-0.3747071992824291,E07000034,-1.665242686955526,0.9158282883906677
E07000154,-0.3719395440912296,E07000154,-1.6624750317643264,0.9185959435818671
E09000021,-0.37054951119888757,E09000021,-1.6610849988719845,0.9199859764742092
E07000109,-0.36850753307661926,E07000109,-1.659043020749716,0.9220279545964776
E08000019,-0.36504286223004495,E08000019,-1.6555783499031418,0.9254926254430518
W06000019,-0.36495507836761876,W06000019,-1.6554905660407155,0.925580409305478
E06000027,-0.35953493900064715,E06000027,-1.6500704266737438,0.9310005486724496
E07000208,-0.3579997506416624,E07000208,-1.6485352383147591,0.9325357370314344
E09000024,-0.3515205106413625,E09000024,-1.6420559983144594,0.9390149770317342
E07000199,-0.35149316051863827,E07000199,-1.642028648191735,0.9390423271544586
E06000021,-0.33623308652127804,E06000021,-1.626768574194375,0.9543024011518187
E07000224,-0.3346123489738011,E07000224,-1.6251478366468979,0.9559231386992957
E07000192,-0.33328305909896594,E07000192,-1.6238185467720627,0.9572524285741308
E07000095,-0.33179723301125397,E07000095,-1.6223327206843507,0.9587382546618428
E07000089,-0.32836655067563714,E07000089,-1.6189020383487338,0.9621689369974596
E07000114,-0.3243632498184901,E07000114,-1.6148987374915869,0.9661722378546067
E06000062,-0.32193781152601286,E06000062,-1.6124732991991095,0.9685976761470839
E07000236,-0.3196229675548503,E07000236,-1.610158455227947,0.9709125201182465
E06000007,-0.31499063597725524,E06000007,-1.605526123650352,0.9755448516958416
E09000027,-0.3097151001508188,E09000027,-1.6002505878239157,0.980820387522278
E07000110,-0.30399033928627245,E07000110,-1.5945258269593692,0.9865451483868244
E07000123,-0.3028434034787106,E07000123,-1.5933788911518074,0.9876920841943861
E09000016,-0.30281904546948085,E09000016,-1.5933545331425776,0.987716442203616
E08000035,-0.30145464775614295,E08000035,-1.5919901354292398,0.9890808399169538
E08000010,-0.30050566570201037,E08000010,-1.5910411533751072,0.9900298219710864
E06000066,-0.3004731849003223,E06000066,-1.5910086725734192,0.9900623027727744
E06000055,-0.2970524093578742,E06000055,-1.587587897030971,0.9934830783152226
E07000113,-0.29411500760222714,E07000113,-1.584650495275324,0.9964204800708696
E08000030,-0.2859993695343159,E08000030,-1.5765348572074127,1.0045361181387809
E08000027,-0.2849305049218691,E08000027,-1.575465992594966,1.0056049827512277
E06000024,-0.2834238635801351,E06000024,-1.573959351253232,1.0071116240929616
E07000115,-0.2814953553760914,E07000115,-1.572030843049188,1.0090401322970055
E07000036,-0.2778183440235373,E07000036,-1.5683538316966341,1.0127171436495594
E06000031,-0.2727187947487233,E06000031,-1.56325428242182,1.0178166929243735
E06000002,-0.2707908351785344,E06000002,-1.5613263228516312,1.0197446524945624
E06000036,-0.2692177111257264,E06000036,-1.5597531987988231,1.0213177765473704
E06000041,-0.256081776365383,E06000041,-1.5466172640384799,1.0344537113077137
W06000012,-0.2556988081037535,W06000012,-1.5462342957768502,1.0348366795693433
W06000018,-0.25301076211113815,W06000018,-1.543546249784235,1.0375247255619586
E08000025,-0.2527151836812317,E08000025,-1.5432506713543286,1.037820303991865
E07000126,-0.25227402468222887,E07000126,-1.5428095123553256,1.038261462990868
E08000001,-0.25117964829845785,E08000001,-1.5417151359715546,1.039355839374639
W06000014,-0.24694094317035986,W06000014,-1.5374764308434568,1.0435945445027368
E08000037,-0.23349969232070608,E08000037,-1.5240351799938028,1.0570357953523908
E09000006,-0.2284416934937339,E09000006,-1.5189771811668307,1.062093794179363
E06000042,-0.22771596793119606,E06000042,-1.5182514556042928,1.0628195197419008
E08000024,-0.20969131521902612,E08000024,-1.5002268028921228,1.0808441724540707
E08000007,-0.20619394876838895,E08000007,-1.4967294364414858,1.0843415389047077
E07000108,-0.2004475441775677,E07000108,-1.4909830318506645,1.090087943495529
E07000099,-0.20004919594154258,E07000099,-1.4905846836146392,1.0904862917315543
E06000046,-0.1978440145094293,E06000046,-1.4883795021825261,1.0926914731636674
E07000220,-0.1975674916503581,E07000220,-1.4881029793234548,1.0929679960227388
W06000024,-0.1961582436595447,W06000024,-1.4866937313326414,1.0943772440135522
E07000209,-0.19247152327903816,E07000209,-1.483007010952135,1.0980639643940586
E07000130,-0.18745198531605714,E07000130,-1.477987472989154,1.1030835023570396
E07000241,-0.18577972489411676,E07000241,-1.4763152125672137,1.10475576277898
E07000096,-0.18228312427737484,E07000096,-1.4728186119504716,1.108252363395722
E06000022,-0.17990061953720138,E06000022,-1.4704361072102983,1.1106348681358953
E08000022,-0.17938785876671837,E08000022,-1.4699233464398151,1.1111476289063784
E06000004,-0.1777988443045152,E06000004,-1.468334331977612,1.1127366433685815
E08000013,-0.1763352699997964,E08000013,-1.4668707576728932,1.1142002176733004
E07000214,-0.1759771555080317,E07000214,-1.4665126431811284,1.1145583321650652
E07000066,-0.17306313810738538,E07000066,-1.4635986257804823,1.1174723495657113
E06000025,-0.16636511385083225,E06000025,-1.456900601523929,1.1241703738222646
E07000071,-0.1592369895234742,E07000071,-1.449772477196571,1.1312984981496226
E08000008,-0.15845296869758804,E08000008,-1.4489884563706847,1.1320825189755088
E07000145,-0.1567376922387177,E07000145,-1.4472731799118144,1.1337977954343792
E07000112,-0.15177952977670983,E07000112,-1.4423150174498067,1.1387559578963868
E08000004,-0.15171120104541105,E08000004,-1.442246688718508,1.1388242866276856
E06000033,-0.1487725736749221,E06000033,-1.439308061348019,1.1417629139981746
E06000009,-0.14302396956748223,E06000009,-1.433559457240579,1.1475115181056146
E07000069,-0.13320057648756436,E07000069,-1.4237360641606611,1.1573349111855324
E07000170,-0.13253103419169748,E07000170,-1.4230665218647942,1.1580044534813994
E07000091,-0.1309477659940683,E07000091,-1.421483253667165,1.1595877216790285
E06000056,-0.12792468882392038,E06000056,-1.418460176497017,1.1626107988491765
E06000020,-0.1191429501082283,E06000020,-1.4096784377813252,1.1713925375648684
E08000031,-0.1138131300631607,E08000031,-1.4043486177362574,1.1767223576099362
E09000003,-0.11222249515745553,E09000003,-1.4027579828305523,1.1783129925156413
E08000036,-0.1055974303178992,E08000036,-1.396132917990996,1.1849380573551975
E08000015,-0.10191767514774733,E08000015,-1.392453162820844,1.1886178125253495
E07000118,-0.09340401458248117,E07000118,-1.383939502255578,1.1971314730906155
E08000034,-0.08442081280616386,E08000034,-1.3749563004792607,1.206114674866933
E06000006,-0.0792405900489789,E06000006,-1.3697760777220758,1.2112948976241178
E07000135,-0.0774946756980156,E07000135,-1.3680301633711123,1.2130408119750813
E07000228,-0.07720811698261497,E07000228,-1.3677436046557117,1.213327370690482
E07000094,-0.07639241557612841,E07000094,-1.3669279032492252,1.2141430720969684
E07000173,-0.07548192233467556,E07000173,-1.3660174100077724,1.2150535653384211
E07000207,-0.07468031019876245,E07000207,-1.3652157978718593,1.2158551774743342
E07000105,-0.07353246296579083,E07000105,-1.3640679506388875,1.217003024707306
E07000174,-0.07210404461896262,E07000174,-1.3626395322920595,1.218431443054134
E08000005,-0.037380755348145826,E08000005,-1.3279162430212426,1.253154732324951
E07000172,-0.01954337908497243,E07000172,-1.3100788667580692,1.2709921085881244
E07000120,-0.016746594039163922,E07000120,-1.3072820817122608,1.2737888936339328
E07000117,-0.016533449218176635,E07000117,-1.3070689368912733,1.2740020384549202
E06000012,-0.0022989810679233205,E06000012,-1.29283446874102,1.2882365066051735
E07000116,0.0002507907262772206,E07000116,-1.2902846969468196,1.290786278399374
E08000016,0.0009596834142035356,E08000016,-1.2895758042588932,1.2914951710873004
E06000040,0.0038161779264913927,E06000040,-1.2867193097466054,1.2943516655995881
E07000098,0.005023954909596645,E07000098,-1.2855115327635,1.2955594425826935
E07000075,0.005922166671297972,E07000075,-1.2846133210017987,1.2964576543443949
E08000009,0.011863084000401028,E08000009,-1.2786724036726957,1.3023985716734978
E08000023,0.015914775369219127,E08000023,-1.2746207123038777,1.3064502630423158
E08000002,0.020771796541780574,E08000002,-1.2697636911313162,1.3113072842148774
E07000211,0.027234624557358214,E07000211,-1.2633008631157385,1.317770112230455
E08000032,0.03423866989187943,E08000032,-1.2562968177812173,1.3247741575649763
E07000121,0.04519705319364728,E07000121,-1.2453384344794496,1.335732540866744
E07000188,0.05074360236923552,E07000188,-1.2397918853038612,1.3412790900423324
E07000012,0.05185721797592748,E07000012,-1.2386782696971692,1.3423927056490244
E08000017,0.05279797998270105,E08000017,-1.2377375076903958,1.3433334676557978
E07000176,0.06018146899617882,E07000176,-1.230354018676918,1.3507169566692756
E07000063,0.06185631523397281,E07000063,-1.228679172439124,1.3523918029070696
E07000222,0.06416941329912908,E07000222,-1.2263660743739677,1.3547049009722258
E08000018,0.0678140255425932,E08000018,-1.2227214621305036,1.35834951321569
E07000128,0.07024762857249484,E07000128,-1.220287859100602,1.3607831162455917
E07000156,0.08626021297211803,E07000156,-1.2042752747009788,1.3767957006452147
E07000212,0.09236136402817736,E07000212,-1.1981741236449195,1.382896851701274
E07000150,0.09652555659877306,E07000150,-1.1940099310743237,1.3870610442718698
E07000010,0.10073044447645116,E07000010,-1.1898050431966456,1.391265932149548
E06000008,0.10656493732093517,E06000008,-1.1839705503521616,1.397100424994032
E07000129,0.10784077500057543,E07000129,-1.1826947126725214,1.3983762626736722
E07000037,0.11225448195639504,E07000037,-1.1782810057167017,1.4027899696294919
E07000180,0.11963730106035267,E07000180,-1.1708981866127441,1.4101727887334494
E07000070,0.12429263732873773,E07000070,-1.1662428503443591,1.4148281250018344
E08000014,0.12690045518928952,E08000014,-1.1636350324838072,1.4174359428623864
E07000216,0.13078105999301384,E07000216,-1.1597544276800829,1.4213165476661107
E07000040,0.13376993857134367,E07000040,-1.156765549101753,1.4243054262444406
E07000244,0.13532436160456005,E07000244,-1.1552111260685367,1.4258598492776569
E08000029,0.1384872403745234,E08000029,-1.1520482472985734,1.4290227280476202
E07000083,0.13858226145952993,E07000083,-1.1519532262135668,1.4291177491326268
E06000063,0.14176852297994358,E06000063,-1.148766964693153,1.4323040106530405
E07000076,0.147900610847206,E07000076,-1.1426348768258907,1.4384360985203029
E07000085,0.15264070937697236,E07000085,-1.1378947782961244,1.4431761970500692
E07000045,0.15290024453922507,E07000045,-1.1376352431338717,1.443435732212322
E07000064,0.15879515819668913,E07000064,-1.1317403294764077,1.4493306458697859
E07000153,0.1618773414613419,E07000153,-1.1286581462117549,1.4524128291344387
E07000011,0.16399969852447577,E07000011,-1.126535789148621,1.4545351861975726
E07000210,0.16915295005895553,E07000210,-1.1213825376141413,1.4596884377320523
E07000068,0.16946463008664042,E07000068,-1.1210708575864563,1.4600001177597373
E06000050,0.17129578038962426,E06000050,-1.1192397072834726,1.461831268062721
E07000007,0.17558802152378414,E07000007,-1.1149474661493126,1.466123509196881
E07000082,0.1873973411246922,E07000082,-1.1031381465484045,1.477932828797789
E07000102,0.19237883918817222,E07000102,-1.0981566484849246,1.482914326861269
E07000084,0.19662535215544796,E07000084,-1.0939101355176488,1.4871608398285447
E07000122,0.19854175350344874,E07000122,-1.091993734169648,1.4890772411765456
E07000027,0.19875245984578105,E07000027,-1.0917830278273157,1.4892879475188778
E07000009,0.20097949021402092,E07000009,-1.0895559974590758,1.4915149778871177
E07000132,0.2066305804545784,E07000132,-1.0839049072185183,1.4971660681276753
E07000238,0.20847615600580316,E07000238,-1.0820593316672937,1.4990116436788998
E07000187,0.21024974675694588,E07000187,-1.0802857409161508,1.5007852344300427
E09000007,0.2139760200547516,E09000007,-1.0765594676183452,1.5045115077278484
E07000093,0.22179720257177035,E07000093,-1.0687382851013265,1.512332690244867
E07000134,0.23051632918995585,E07000134,-1.0600191584831409,1.5210518168630527
E06000001,0.23603248593533732,E06000001,-1.0545030017377595,1.526567973608434
E07000033,0.236121170488347,E07000033,-1.0544143171847498,1.5266566581614438
E08000011,0.24061331442185813,E08000011,-1.0499221732512387,1.5311488020949549
E07000119,0.24174428924976274,E07000119,-1.048791198423334,1.5322797769228595
E06000003,0.265741221984379,E06000003,-1.0247942656887177,1.5562767096574759
E07000177,0.2674542893235671,E07000177,-1.0230811983495296,1.557989776996664
E06000054,0.2684034215573525,E06000054,-1.0221320661157443,1.5589389092304493
E07000193,0.2759948336562074,E07000193,-1.0145406540168893,1.5665303213293043
E06000005,0.2787434550600415,E06000005,-1.0117920326130552,1.5692789427331384
E07000038,0.28019160894177847,E07000038,-1.0103438787313184,1.5707270966148752
E07000227,0.28402761608943905,E07000227,-1.0065078715836577,1.5745631037625358
E06000059,0.2897048254768743,E06000059,-1.0008306621962224,1.5802403131499712
E07000032,0.2917152545450537,E07000032,-0.9988202331280431,1.5822507422181504
E07000111,0.2930506675320301,E07000111,-0.9974848201410667,1.583586155205127
E07000239,0.2987170151356759,E07000239,-0.9918184725374208,1.5892525028087727
E07000004,0.302086890062219,E07000004,-0.9884485976108778,1.592622377735316
E07000215,0.3044548040369075,E07000215,-0.9860806836361893,1.5949902917100043
E07000039,0.30576944770119935,E07000039,-0.9847660399718974,1.5963049353742962
E07000234,0.3072291475713495,E07000234,-0.9833063401017472,1.5977646352444463
E07000136,0.317073024185105,E07000136,-0.9734624634879918,1.6076085118582017
E08000033,0.3173446263700469,E08000033,-0.9731908613030499,1.6078801140431436
E07000175,0.32077773349589794,E07000175,-0.9697577541771989,1.6113132211689947
E07000067,0.32218550458962714,E07000067,-0.9683499830834696,1.612720992262724
E06000013,0.32316975820757127,E06000013,-0.9673657294655256,1.613705245880668
E07000065,0.3256695187718714,E07000065,-0.9648659689012253,1.6162050064449682
E06000037,0.3293720872231317,E06000037,-0.9611634004499651,1.6199075748962284
E07000005,0.33419207184700517,E07000005,-0.9563434158260916,1.6247275595201018
E07000125,0.3367716400854033,E07000125,-0.9537638475876935,1.6273071277585
E07000127,0.3408539029293701,E07000127,-0.9496815847437267,1.6313893906024668
E09000020,0.34447314401884205,E09000020,-0.9460623436542548,1.6350086316919388
E07000043,0.34839222412698134,E07000043,-0.9421432635461154,1.6389277118000782
E06000065,0.35505206575945203,E06000065,-0.9354834219136448,1.6455875534325488
E09000033,0.36130383280034173,E09000033,-0.929231654872755,1.6518393204734385
W06000006,0.3753348326791702,W06000006,-0.9152006549939266,1.665870320352267
E07000194,0.38151601016271536,E07000194,-0.9090194775103815,1.672051497835812
E07000195,0.3945662957374129,E07000195,-0.8959691919356838,1.6851017834105098
E07000179,0.40186494321841487,E07000179,-0.8886705444546819,1.6924004308915117
W06000021,0.40331515292691056,W06000021,-0.8872203347461862,1.6938506406000073
E07000006,0.41824765659866087,E07000006,-0.872287831074436,1.7087831442717576
W06000003,0.4213853748018838,W06000003,-0.8691501128712129,1.7119208624749807
E07000181,0.4257804629441297,E07000181,-0.864755024728967,1.7163159506172265
E07000197,0.426477907604454,E07000197,-0.8640575800686427,1.7170133952775508
E07000131,0.4354388822175267,E07000131,-0.8550966054555701,1.7259743698906234
E07000225,0.44050412496552527,E07000225,-0.8500313627075715,1.731039612638622
E07000171,0.4436583238017652,E07000171,-0.8468771638713316,1.7341938114748618
E07000042,0.4463287164384238,E07000042,-0.844206771234673,1.7368642041115205
E07000246,0.44791140495674253,E07000246,-0.8426240827163543,1.7384468926298393
E07000072,0.45121876490908125,E07000072,-0.8393167227640155,1.741754252582178
E07000189,0.45405671982748746,E07000189,-0.8364787678456094,1.7445922075005842
E06000049,0.4721294869100799,E06000049,-0.818406000763017,1.7626649745831766
E09000001,0.4727524839690716,E09000001,-0.8177830037040252,1.7632879716421683
E07000080,0.47530905437529647,E07000080,-0.8152264332978003,1.7658445420483933
E07000077,0.4767078403292524,E07000077,-0.8138276473438444,1.7672433280023492
E06000052,0.4879521559601687,E06000052,-0.8025833317129281,1.7784876436332655
E07000152,0.4964632163765595,E07000152,-0.7940722712965373,1.7869987040496562
E07000218,0.4967862785813853,E07000218,-0.7937492090917115,1.787321766254482
E07000144,0.50358381379115,E07000144,-0.7869516738819468,1.7941193014642467
E07000242,0.5093800160014599,E07000242,-0.7811554716716369,1.7999155036745567
E07000141,0.5153761462754906,E07000141,-0.7751593413976062,1.8059116339485874
E07000245,0.5202875633126138,E07000245,-0.770247924360483,1.8108230509857106
E06000047,0.5595715844799959,E06000047,-0.7309639031931009,1.8501070721530928
W06000005,0.5605446669185767,W06000005,-0.72999082075452,1.8510801545916735
E07000143,0.566901625754805,E07000143,-0.7236338619182918,1.8574371134279017
E07000046,0.608012260761278,E07000046,-0.6825232269118188,1.8985477484343747
E07000133,0.6125886770179512,E07000133,-0.6779468106551456,1.903124164691048
E06000011,0.6445224848769754,E06000011,-0.6460130027961214,1.935057972550072
E07000124,0.650123464180441,E07000124,-0.6404120234926558,1.9406589518535378
E07000200,0.651915573012809,E07000200,-0.6386199146602878,1.9424510606859058
E07000074,0.6532757480357245,E07000074,-0.6372597396373723,1.9438112357088213
E07000221,0.6591312742477612,E07000221,-0.6314042134253356,1.949666761920858
E07000169,0.6596662379397463,E07000169,-0.6308692497333505,1.950201725612843
E07000044,0.6668233254061028,E07000044,-0.623712162266994,1.9573588130791997
E07000235,0.6752835084695887,E07000235,-0.615251979203508,1.9658189961426855
E07000196,0.6755041982206286,E07000196,-0.6150312894524682,1.9660396858937252
E07000140,0.6787440731029035,E07000140,-0.6117914145701933,1.9692795607760003
E06000064,0.6963187659136529,E06000064,-0.5942167217594438,1.9868542535867497
E07000165,0.6971339265668001,E07000165,-0.5934015611062967,1.987669414239897
E07000168,0.6983572627799216,E07000168,-0.5921782248931752,1.9888927504530183
E07000155,0.6983867757942217,E07000155,-0.5921487118788751,1.9889222634673185
E07000142,0.7018911732034191,E07000142,-0.5886443144696777,1.9924266608765158
E07000079,0.730320931971233,E07000079,-0.5602145557018637,2.0208564196443297
W06000004,0.7347383742176603,W06000004,-0.5557971134554365,2.0252738618907573
E07000149,0.7628550635627844,E07000149,-0.5276804241103124,2.053390551235881
W06000009,0.8041729286433476,W06000009,-0.48636255902974923,2.094708416316444
E07000146,0.8064633147049985,E07000146,-0.48407217296809824,2.096998802378095
W06000010,0.8106602727223722,W06000010,-0.4798752149507246,2.101195760395469
E07000139,0.8112827885066665,E07000139,-0.4792526991664303,2.1018182761797632
E07000163,0.8137770878808316,E07000163,-0.4767583997922652,2.1043125755539283
E06000017,0.8211671504648682,E06000017,-0.46936833720822857,2.111702638137965
E06000019,0.8427330329604911,E06000019,-0.4478024547126057,2.133268520633588
E07000035,0.8549525315801273,E07000035,-0.4355829560929695,2.145488019253224
E07000203,0.8755311869285306,E07000203,-0.4150043007445662,2.1660666746016273
E07000151,0.9013188182100682,E07000151,-0.3892166694630286,2.191854305883165
E07000147,0.914497518344814,E07000147,-0.3760379693282828,2.205033006017911
E07000198,0.9211071062214152,E07000198,-0.36942838145168155,2.211642593894512
E06000051,0.9357245877201574,E06000051,-0.35481089995293935,2.226260075393254
W06000002,0.9680964277309032,W06000002,-0.3224390599421936,2.258631915404
E07000047,0.9951387049294516,E07000047,-0.2953967827436452,2.2856741926025483
E07000137,1.0224523942979733,E07000137,-0.2680830933751235,2.31298788197107
W06000001,1.0594690219869276,W06000001,-0.23106646568616918,2.3500045096600246
E07000028,1.0636086892543795,E07000028,-0.22692679841871732,2.354144176927476
E07000031,1.0689699900406122,E07000031,-0.22156549763248456,2.359505477713709
E06000053,1.0960681097922194,E06000053,-0.19446737788087742,2.3866035974653164
E07000029,1.1031433941383484,E07000029,-0.1873920935347484,2.393678881811445
W06000008,1.2618560297456611,W06000008,-0.028679457927435648,2.5523915174187577
E07000164,1.3091906380744478,E07000164,0.018655150401351017,2.5997261257475444
W06000023,1.3252377558838484,W06000023,0.03470226821075162,2.615773243556945
E07000026,1.366685790224809,E07000026,0.07615030255171229,2.657221277897906
E06000057,1.4199860443052406,E06000057,0.12945055663214378,2.7105215319783373
E07000166,1.8227798415801635,E07000166,0.5322443539070667,3.1133153292532603
E07000167,1.8467010979930063,E07000167,0.5561656103199095,3.137236585666103
E07000030,2.095889557237087,E07000030,0.80535406956399,3.3864250449101836
